College or Institution,City,State,Deg,AreaofStudy,Method,MajorReqs,Credit,Dept,CourseNo,CourseTitle,KSA,Link
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,3100,Principles of Cybersecurity,"This course offers a foundation in the various technical and administrative aspects of Cybersecurity and provides the terminology and principles for understanding the key issues associated with protecting information assets, determining the levels of protection and response to security incidents, as well as designing a consistent, reasonable cybersecurity system",https://kennesaw.curriculog.com/proposal:4528/print
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,3200,Network Security,"This course provides a complete foundation of the cybersecurity of networked information systems, providing a detailed examination of principles, theory, tools, techniques, and technologies used in network cybersecurity.",https://kennesaw.curriculog.com/proposal:4551/print
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,3210,Client Systems Security,"This course explores client computer system technology, security, and control of vulnerabilities. It will include relevant computer architectures, and operating systems and will provide the detailed technical coverage necessary to protect computer information system clients by presenting the knowledge of client platform computer hardware components, client network devices and interfaces, as well as the structure and usage of common client operating system software from a cybersecurity perspective.",https://kennesaw.curriculog.com/proposal:4554/print
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,3300,Management of Cybersecurity in a Global Environment,"This course explores managerial aspects of cybersecurity and the administration of strategic planning processes as well as the policies, procedures, and staffing functions necessary to organize and administer the cybersecurity functions of an organization.",https://kennesaw.curriculog.com/agenda:444/form
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,3423,Operating Systems Concepts & Administration,"This course is an introduction to basic operating system principles. Topics include memory management, peripheral device management, file system management and process management. Different types of operating systems and their administrations are studied. Projects are carried out with simulations.",http://catalog.kennesaw.edu/preview_course_nopop.php?catoid=24&coid=42412
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,4200,Perimeter Defense,"An exploration of cybersecurity techniques, tools, and technologies used to protect an organizations network infrastructure. The course will examine the evaluation, selection, deployment, and administration of firewall, VPN, IDPS, and other applications used to defend organizational networks and information assets from attacks.",https://kennesaw.curriculog.com/agenda:444/form
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,4220,Server Systems Security,"This course offers the detailed technical knowledge and skills necessary to protect computer server information system by presenting the knowledge of server platform computer hardware components, server network devices and interfaces, as well as the structure and usage of common server operating system software from a cybersecurity perspective. Additional learning regarding ongoing maintenance and operational issues of server computing systems will also be included.",https://kennesaw.curriculog.com/agenda:444/form
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,4323,Data Communications & Networking,"Fundamental concepts of computer networking include topics such as properties of signals and media, information encoding, error detection and recovery, LANs, backbones, WANs, network topologies, routing, Internet protocols, and security issues. The focus is on general concepts together with their application to support the business enterprise.",http://catalog.kennesaw.edu/preview_course_nopop.php?catoid=24&coid=42416
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,4330,Incident Response and Contingency Planning,"This course offers coverage of the cybersecurity contingency planning. It includes the detailed aspects of incident response planning, disaster recovery planning, and business continuity planning. Developing and executing plans to deal with incidents in the organization is a critical function in cybersecurity. This course focuses on the planning processes for the execution of response to human and non-human incidents in compliance with these policies.",https://kennesaw.curriculog.com/agenda:444/form
Kennesaw State University,Kennesaw ,GA,BS,Cybersecurity,Online,CORE,3,CYBR,4423,Linux/Unix Administration,"This course introduces Linux/Unix operating systems. Topics include system administration, file systems and access permissions, regular expression, common tools and utilities, and network service configurations. Lessons will be enhanced using hands-on exercises.",http://catalog.kennesaw.edu/preview_course_nopop.php?catoid=24&coid=42193
